id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
212,SBG2011SK,Pulai,Alstonia scholaris,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,41,16,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.553288,100.5473037,163.1505581,4.02,Belum,-,-,Taufik Hidayat,10/27/2021 6:08,"200,000.00","1,005.61",-,Chave et al. 2014.,media/1635307693179.jpg,media/1635307675258.jpg,media/1635307648398.jpg,media/1635307716022.jpg,adopsipohonriau/212
213,SBG0225SK,Ludai,Triadica cochinchinensis,Pohon Muda,icon/young_tree.svg,-,18,13,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.553264,100.5473843,170.6251643,4.02,Belum,-,-,Taufik Hidayat,10/27/2021 7:17,"50,000.00",164.65,-,Chave et al. 2014.,media/1635311822549.jpg,media/1635311803844.jpg,media/1635311781502.jpg,media/1635311835423.jpg,adopsipohonriau/213
214,SBG0213SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,17,13,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533134,100.5473232,174.4721715,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 6:11,"50,000.00",147.26,-,Chave et al. 2014.,media/1635307879754.jpg,media/1635307853447.jpg,media/1635307832473.jpg,media/1635307896246.jpg,adopsipohonriau/214
215,SBG0212SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,28,21,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533134,100.5473232,174.4721715,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 6:13,"50,000.00",622.86,-,Chave et al. 2014.,media/1635308007290.jpg,media/1635307989027.jpg,media/1635307968915.jpg,media/1635308019148.jpg,adopsipohonriau/215
216,SBG0223SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,27,16,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533256,100.5473656,170.1369752,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 7:20,"50,000.00",444.94,-,Chave et al. 2014.,media/1635312031659.jpg,media/1635312011547.jpg,media/1635311983646.jpg,media/1635312044842.jpg,adopsipohonriau/216
217,SBG0214SK,Ludai,Triadica cochinchinensis,Pohon Dewasa,icon/mature_tree.svg,-,63,24,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.553341,100.5474337,155.0493929,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 6:17,"200,000.00","3,455.04",-,Chave et al. 2014.,media/1635308196441.jpg,media/1635308167359.jpg,media/1635308105933.jpg,media/1635308213133.jpg,adopsipohonriau/217
218,SBG0209SK,Pulai,Alstonia scholaris,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,43,18,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5532509,100.547348,169.302977,4.02,Belum,-,-,Taufik Hidayat,10/27/2021 6:19,"200,000.00","2,421.16",-,Chave et al. 2014.,media/1635308359553.jpg,media/1635308326990.jpg,media/1635308305313.jpg,media/1635308376710.jpg,adopsipohonriau/218
219,SBG0221SK,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,2,23,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533164,100.5474089,168.2856705,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 7:24,"50,000.00",7.41,-,Chave et al. 2014.,media/1635312216284.jpg,media/1635312190235.jpg,media/1635312168998.jpg,media/1635312231194.jpg,adopsipohonriau/219
220,SBG0222SK,Mahang,Macaranga aleuritoides,Pohon Dewasa,icon/mature_tree.svg,Least Concern,44,26,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5531894,100.5473363,170.0420818,4.01,Belum,-,-,Taufik Hidayat,10/27/2021 7:26,"200,000.00","1,853.91",-,Chave et al. 2014.,media/1635312370288.jpg,media/1635312351446.jpg,media/1635312322157.jpg,media/1635312384029.jpg,adopsipohonriau/220
221,SBG0208SK,Pulai,Alstonia scholaris,Pohon Muda,icon/young_tree.svg,Vulnerable,27,14,Hutan Desa Sei Kuning,Mineral,Sei Kuning,0.5533054,100.5474592,187.840587,4.03,Belum,-,-,Taufik Hidayat,10/27/2021 6:22,"50,000.00",734.45,-,Chave et al. 2014.,media/1635308507107.jpg,media/1635308490374.jpg,media/1635308471230.jpg,media/1635308522147.jpg,adopsipohonriau/221
